model_number,star_age,star_mass,log_L,log_R,log_Teff,log_center_Rho,log_center_P,center_h1,center_he3,center_he4,star_mdot
893,12269405008.697212,0.9985062667942874,1.4637817364814767,0.945299293172653,3.654925205760356,5.206794737474724,21.18547372431484,0.0,0.0,0.9800605628797798,-1.0291070149048177e-11
894,12269581852.458204,0.9985044496895165,1.4633654110633705,0.9450349889259628,3.654953276529174,5.207292729211846,21.18627317727299,0.0,0.0,0.9800605626798813,-1.0275198631882407e-11
895,12269754956.64756,0.9985026737917325,1.462936256204386,0.9447631737332682,3.654981895410776,5.207781781630171,21.187058298665107,0.0,0.0,0.9800605624839254,-1.0259126543131312e-11
896,12269926572.545662,0.9985009159988303,1.4626942999017345,0.9446048429806767,3.6550005717114087,5.2082635169585485,21.18783156651313,0.0,4.320981589504572e-46,0.9800605622893824,-1.0242599442856725e-11
897,12270097570.426723,0.9984991661465192,1.4623850368802385,0.9444059240291593,3.6550227154317927,5.208745519954435,21.188605294638965,0.0,0.0,0.9800605620952684,-1.0233181254204715e-11
898,12270268232.373041,0.9984974217711734,1.4620753179199615,0.9442069129047017,3.6550447912539523,5.209227249503462,21.189378578495774,0.0,0.0,0.9800605619012647,-1.022123199439784e-11
899,12270473026.708622,0.9984953309676919,1.4619543843050902,0.944119610292028,3.655058209156572,5.209794080614479,21.190288134993516,0.0,2.0471773069466303e-44,0.9800605616681404,-1.0209283746864098e-11
900,12270718779.91132,0.9984928232009765,1.46204587214856,0.9441575120055057,3.6550621302607,5.210464740584341,21.191363987785856,1.950324644182367e-39,0.0,0.9800605613879334,-1.0204411123725386e-11
901,12270922611.22083,0.9984907425974876,1.4615389959988485,0.9438370575459161,3.6550956384530675,5.211031357423152,21.192273186352185,0.0,0.0,0.9800605611550661,-1.0207477418153172e-11
902,12271107805.003893,0.9984888558299062,1.4610065832403367,0.9435028313468714,3.6551296483629616,5.211550696426396,21.193106615283384,0.0,0.0,0.980060560943139,-1.0188071921730115e-11
903,12271284263.836061,0.9984870616351439,1.46029321563555,0.9430605946638899,3.6551724248032555,5.2120528065082485,21.193912565647885,3.4428986967663656e-43,4.296434227192623e-46,0.9800605607409016,-1.016778100740097e-11
904,12271455978.337831,0.9984853203161629,1.4596001985693563,0.9426325620040115,3.655213186866647,5.212540640405668,21.19469555436686,0.0,0.0,0.9800605605438206,-1.014077997614866e-11
905,12271626178.725885,0.9984835987979821,1.4590832546983372,0.9423098832096196,3.6552452902960875,5.21302356648829,21.19547062418319,0.0,0.0,0.9800605603481989,-1.0114654850540585e-11
906,12271796090.615059,0.9984818835142751,1.4583851294979817,0.9418785902612306,3.6552864054701937,5.213507299532694,21.196247007518984,0.0,0.0,0.9800605601526341,-1.0095136457399596e-11
907,12271999984.882069,0.9984798305162277,1.458000237677085,0.9416339298974972,3.6553125126968355,5.214072208986202,21.197153223442374,0.0,0.0,0.9800605599176264,-1.0068934637927618e-11
908,12272244658.00248,0.9984773704821501,1.4576644422114646,0.9414147228926782,3.6553381673328404,5.214742033336975,21.198227464340942,0.0,0.0,0.9800605596351551,-1.0054369982662103e-11
909,12272447122.837524,0.9984753374205674,1.4569447811649903,0.9409684018471557,3.655381412593983,5.215310574637485,21.199139628288176,0.0,0.0,0.9800605594009493,-1.0041554043647176e-11
910,12272631168.216366,0.9984734942702749,1.4560288839675746,0.9404065284654206,3.655433374985497,5.2158307295774895,21.199974219186462,0.0,9.545889750631971e-46,0.9800605591876942,-1.0014651299512944e-11
911,12272806986.564905,0.9984717394887243,1.4549881484722997,0.9397715526792925,3.655490679004742,5.216329477541403,21.200774482643858,0.0,0.0,0.9800605589836658,-9.980650855208976e-12
912,12272978971.012821,0.9984700295793553,1.4539756810308833,0.9391542559965724,3.655546210485748,5.216819711273245,21.201561120240683,0.0,0.0,0.9800605587837976,-9.942232507587194e-12
913,12273149761.675436,0.9984683378962255,1.4532342590838163,0.9386992488006487,3.6555883585969426,5.217301739450249,21.20233443243641,5.07664845448567e-40,0.0,0.9800605585850308,-9.905009465212957e-12
914,12273354710.470575,0.998466313457804,1.4523833829491564,0.9381759757230835,3.6556372761020604,5.2178753881443924,21.203254560130222,0.0,0.0,0.9800605583461741,-9.877776641173501e-12
915,12273600649.02474,0.9984638918012604,1.4517577889666196,0.9377847507489621,3.6556764900934873,5.21854787317438,21.204332720915833,4.289152190386468e-40,0.0,0.9800605580590735,-9.846591770606107e-12
916,12273805002.214624,0.99846188431959,1.4507089202014491,0.937143213664771,3.65573504144429,5.219119661860808,21.205249761768545,2.6358285682606237e-39,0.0,0.98006055782004,-9.823588618532108e-12
917,12273990810.39091,0.998460066103673,1.4494881286501744,0.9364003805961162,3.655801260090799,5.219643853464428,21.206090547374664,4.257333233011267e-40,0.0,0.9800605576023295,-9.785446223717114e-12
918,12274168291.04595,0.9984583372078553,1.448331930358918,0.9356964907311586,3.6558641554504634,5.220144950024912,21.206894266380754,2.1263632159002027e-40,0.0,0.980060557394059,-9.741319793439082e-12
919,12274341917.814552,0.998456653079658,1.4470547675641017,0.9349190211723317,3.6559335995311733,5.220639289135147,21.207687228615764,0.0,2.493320823815802e-42,0.9800605571900162,-9.699703627581243e-12
920,12274514086.15448,0.998454990976951,1.4459922305065782,0.9342698775482821,3.655992537078817,5.221126192263663,21.208468140986593,0.0,0.0,0.9800605569874038,-9.653939323328978e-12
921,12274720688.162395,0.9984530042959199,1.444942940148544,0.933625405053963,3.656052450736468,5.221700946441594,21.209389644229695,0.0,0.0,0.9800605567439038,-9.61598123482616e-12
922,12274968610.571892,0.9984506295535962,1.4439363557346345,0.9330024859041046,3.65611226420792,5.222376560177566,21.210472391318522,0.0,0.0,0.9800605564512164,-9.578570684581689e-12
923,12275174297.200447,0.9984486667434356,1.442664141107255,0.9322206347226096,3.6561851361418225,5.222948610769104,21.21138944576488,0.0,0.0,0.9800605562079023,-9.542721247073053e-12
924,12275361544.019598,0.9984468883269536,1.4410650241534542,0.9312409924173294,3.656275178056012,5.223477682946247,21.21223779435095,3.2168732218700744e-41,0.0,0.9800605559860261,-9.497712644533621e-12
925,12275540885.464333,0.9984451950745369,1.439654074262061,0.9303695360795663,3.6563581687520457,5.223982580894421,21.21304729110062,0.0,0.0,0.9800605557731825,-9.441500925923193e-12
926,12275716737.34881,0.9984435434687456,1.4383093711890012,0.9295343929261208,3.6564395645605035,5.224476663786516,21.213839383583707,0.0,0.0,0.9800605555641733,-9.392027820568993e-12
927,12275891278.328579,0.9984419123797712,1.436876083578,0.9286406111275868,3.6565281335570194,5.224966890984206,21.21462525332833,0.0,0.0,0.9800605553564151,-9.345020157959776e-12
928,12276065549.568743,0.9984402925118524,1.4355803691509323,0.9278262581942534,3.6566113814169197,5.225455388012631,21.215408285150186,0.0,5.375019573426548e-47,0.9800605551486826,-9.295096065409594e-12
929,12276239084.857664,0.9984386873001285,1.434315744221924,0.9270268969234027,3.6566949058200926,5.225939832574359,21.216184727549802,8.686730297288309e-40,0.0,0.980060554941529,-9.25005936219441e-12
930,12276447327.204367,0.9984367701757884,1.433089807000833,0.9262456825863403,3.6567790286833515,5.226510676496709,21.21709929538511,0.0,0.0,0.9800605546925845,-9.20621751740716e-12
931,12276697218.020412,0.9984344802299557,1.4321941617822376,0.9249372017797979,3.6572093577819733,5.227182958146171,21.218175930812528,0.0,0.0,0.9800605543933424,-9.163785484071319e-12
932,12276905506.331263,0.9984325811787189,1.4304765150452683,0.9238623926538665,3.657317350660697,5.227755839885156,21.219093691047057,2.726589096850942e-41,0.0,0.9800605541434182,-9.117416282353757e-12
933,12277095969.921236,0.9984308557694754,1.428953733600717,0.9229091489013834,3.6574132771758006,5.2282800590518415,21.219933453994408,0.0,0.0,0.9800605539144931,-9.058997804785783e-12
934,12277278851.430481,0.9984292084619714,1.427313150056027,0.9218848407364484,3.657515285372096,5.228788493127142,21.220748032996255,0.0,0.0,0.9800605536943311,-9.00751262972853e-12
935,12277458235.421432,0.9984276025401974,1.4259161981619606,0.9210124689851757,3.6576022332742157,5.229282120721638,21.221538698776122,0.0,0.0,0.9800605534780543,-8.952425272506694e-12
936,12277635465.528309,0.9984260241674311,1.4243732563000104,0.920051754989883,3.657696854806374,5.229774855934745,21.22232803928429,7.87357305921552e-39,0.0,0.9800605532640568,-8.905782397905367e-12
937,12277848141.65656,0.9984241410046788,1.423031103575596,0.9192123143668303,3.657781036936797,5.23034932364099,21.223247761927393,0.0,0.0,0.9800605530068871,-8.854603325865841e-12
938,12278103353.010464,0.9984218925283106,1.4216046418862005,0.9183191276495252,3.6578710148731006,5.231028448320407,21.22433464113724,0.0,0.0,0.9800605526977462,-8.810252105884343e-12
939,12278315730.244059,0.9984200313943881,1.4202490648042345,0.9174739843216295,3.657954692266557,5.231599590368683,21.225248815643948,0.0,0.0,0.9800605524399603,-8.763340076969875e-12
940,12278509536.236116,0.9984183415879707,1.4187309216607948,0.9165329096446639,3.65804569381918,5.2321290975297305,21.22609654331725,0.0,0.0,0.9800605522043101,-8.71906177628854e-12
941,12278694855.399878,0.998416734899772,1.417306640867552,0.9156526294912428,3.65812976369758,5.232633527663005,21.226904014438844,0.0,1.874274767354488e-46,0.9800605519786215,-8.669843777246594e-12
942,12278877233.061861,0.9984151620796605,1.4160530365019763,0.9148783969841356,3.6582034788597397,5.233128936387431,21.227696962933464,1.6910313650415173e-41,0.0,0.9800605517561769,-8.623973431605621e-12
943,12279058204.239763,0.9984136086568778,1.4149916526161894,0.9142225870600651,3.6582660378503276,5.233617433902931,21.22847870501266,0.0,0.0,0.9800605515351133,-8.583813183669807e-12
944,12279238533.53166,0.998412066849866,1.414195396530309,0.9137282392462075,3.6583141477357866,5.23410816923052,21.229264098491534,0.0,0.0,0.9800605513145095,-8.549953230305949e-12
945,12279454928.681936,0.9984102221686342,1.41390842738181,0.9135388302705644,3.6583371099364834,5.23467711637744,21.230173987841916,0.0,0.0,0.9800605510493944,-8.524595997734516e-12
946,12279714602.862267,0.9984080109738588,1.414532238527415,0.9138945082204908,3.658315223747922,5.235341032876664,21.231235053459077,0.0,0.0,0.9800605507307016,-8.515266217857662e-12
947,12279933701.937593,0.9984061410702242,1.4152971027203873,0.914338577139161,3.6582844053368295,5.235902363941476,21.23213211884787,0.0,0.0,0.9800605504612554,-8.534511757878707e-12
948,12280135091.261179,0.9984044175163193,1.416625451578528,0.9151265642022532,3.658222499019818,5.2364080181674515,21.232939797634373,0.0,0.0,0.980060550213155,-8.558318159517152e-12
949,12280329566.26862,0.9984027450040593,1.418299929670726,0.9161274375050006,3.6581406818914943,5.236891200045463,21.23371134152995,0.0,0.0,0.9800605499731947,-8.600139843579015e-12
950,12280521969.764538,0.9984010800795335,1.420298774024289,0.9173310391523091,3.658038592156231,5.237357826675269,21.234455994474022,0.0,2.192419348403571e-43,0.980060549735428,-8.653296645595453e-12
951,12280752853.95964,0.9983990673799015,1.4232957607335142,0.9191445986466682,3.6578810590863577,5.237896493558502,21.23531476860749,0.0,0.0,0.9800605494496932,-8.717355603481135e-12
952,12281029914.993763,0.9983966252338402,1.426906848136818,0.9213375573816415,3.657687351569697,5.2385242487734525,21.236314741629574,0.0,0.0,0.9800605491062285,-8.814469595374811e-12
953,12281260771.41761,0.9983945629746088,1.4292001995986419,0.9227293231855616,3.657564806533193,5.239053907298939,21.237158587619057,0.0,0.0,0.9800605488194604,-8.933081422992875e-12
954,12281470934.134073,0.9983926695719608,1.4308209520373976,0.9237103657161434,3.6574794733775913,5.239542734678124,21.237937537083553,0.0,0.0,0.9800605485579535,-9.0092223765616e-12
955,12281671203.078978,0.9983908544595126,1.4322161848555668,0.9245542084392099,3.6574063602206,5.2400099877492226,21.238682076581178,0.0,0.0,0.9800605483083596,-9.063374498832218e-12
956,12281867437.085127,0.9983890667207341,1.4333920335300403,0.9252633055226351,3.6573457738475055,5.240473015589857,21.239419994557444,0.0,0.0,0.9800605480634302,-9.110239420103803e-12
957,12282062006.785528,0.99838728643085,1.4346845622183666,0.9260452930522451,3.657277912254782,5.240928592971481,21.240145829000888,0.0,0.0,0.980060547820211,-9.149882435016338e-12
958,12282255218.182629,0.9983855101012798,1.4359274291819553,0.9267969888402575,3.6572127811016735,5.241381743358856,21.240867744648593,0.0,0.0,0.98006054757834,-9.1937100853089e-12
